SECTION_ID,SECTION,LINE_ID,FREQUENCY,CAPACITY,BOARDDATE,EST_PSGNUM,DATA_TYPE
0,0-A-B,0,4,4800,20231112,4149.4959186465685,TRAINING
1,0-B-C,0,4,4800,20231112,4260.10725303425,TRAINING
2,0-C-D,0,4,4800,20231112,3870.046879108908,TRAINING
3,1-A-C,1,2,2400,20231112,1960.255165401996,TRAINING
4,1-C-D,1,2,2400,20231112,1952.9480247576957,TRAINING
5,2-A-B,2,3,3600,20231112,3453.442599470245,TRAINING
6,2-B-D,2,3,3600,20231112,2647.8434493047853,TRAINING
7,3-A-D,3,2,2400,20231112,1480.3443052382684,TRAINING
0,0-A-B,0,5,6000,20241112,4154.010987165815,VALIDATION
1,0-B-C,0,5,6000,20241112,4250.282465040642,VALIDATION
2,0-C-D,0,5,6000,20241112,3422.7943843789444,VALIDATION
3,1-A-C,1,4,4800,20241112,2003.4284102183294,VALIDATION
4,1-C-D,1,4,4800,20241112,2451.7446790592603,VALIDATION
5,2-A-B,2,4,4800,20241112,3451.4709233855046,VALIDATION
6,2-B-D,2,4,4800,20241112,2620.9562079171696,VALIDATION
7,3-A-D,3,3,3600,20241112,1434.627667987429,VALIDATION
