BOARDDATE,SECTION_ID,SECTION,PSGNUM,EST_PSGNUM,DATA_TYPE
20231112,0,0-A-B,4364.0,4149.4959186465685,TRAINING
20231112,1,0-B-C,3812.0,4260.10725303425,TRAINING
20231112,2,0-C-D,3663.0,3870.046879108908,TRAINING
20231112,3,1-A-C,2153.0,1960.255165401996,TRAINING
20231112,4,1-C-D,1883.0,1952.9480247576957,TRAINING
20231112,5,2-A-B,3108.0,3453.442599470245,TRAINING
20231112,6,2-B-D,2820.0,2647.8434493047853,TRAINING
20231112,7,3-A-D,1625.0,1480.3443052382684,TRAINING
20241112,0,0-A-B,5255.0,4154.010987165815,VALIDATION
20241112,1,0-B-C,4962.0,4250.282465040642,VALIDATION
20241112,2,0-C-D,4097.0,3422.7943843789444,VALIDATION
20241112,3,1-A-C,4206.0,2003.4284102183294,VALIDATION
20241112,4,1-C-D,3396.0,2451.7446790592603,VALIDATION
20241112,5,2-A-B,3772.0,3451.4709233855046,VALIDATION
20241112,6,2-B-D,3150.0,2620.9562079171696,VALIDATION
20241112,7,3-A-D,2473.0,1434.627667987429,VALIDATION
